description,Population, Average income of poor families, Average income of non poor families,Poverty incidence, Average income in the province,National GDP per capita,Social protection for poor people,Social protection for non-poor people,Asset vulnerability (poor people),Asset vulnerability (non-poor people),Access to early warning for poor people,Access to early warning for nonpoor people,"Exposure, poor people","Exposure, non-poor people", Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate,Asset vulnerability (shared losses), Hazard (protection),Average asset losses per person in the event of a disaster,Average welfare losses in the event of a disaster,Average consumption losses for poor people in the event of a disaster,Average consumption losses for nonpoor people in the event of a disaster,Average asset losses across persons in the event of a disaster,Expected welfare losses per capita due to natural disasters ,Total expected welfare losses due to natural disasters,Expected welfare losses,Socio-economic capacity,Risk to assets
variable,pop,cp,cr,pov_head,gdp_pc_pp,gdp_pc_pp_nat,social_p,social_r,v_p,v_r,shewp,shewr,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phu Yen,907294,390.991736660871,4286.40715654912,0.26829269528389,3241.29565429688,3692.17485218631,0.180655494332314,0.180655494332314,0.0333333333333333,0.0333333333333333,0.910569105691057,0.910569105691057,0.212847194109036,0.186943332699227,7.05335,0.2697,3,0.2,0,0,1.5,0.05,0.02726287262872626,7.05335,61.526544942858294,6.825293042744818e-06,33.903343316578976,369.65161434400517,7914347.801737567,15.971502262735301,14490848.173966162,0.004927505530562262,0.5461618054874287,0.002691215317121175
Khanh Hoa,1219332,471.603520190718,4267.10969438521,0.0942028984427452,3909.56201171875,3692.17485218631,0.169438641518354,0.169438641518354,0.0333333333333333,0.0333333333333333,0.898550724637681,0.898550724637681,0.318387934772336,0.287086831575739,6.90841,0.2697,3,0.2,0,0,1.5,0.05,0.027342995169082097,6.90841,113.93161690738869,7.376018049898292e-06,42.29063695883057,380.3549536295188,20108891.38121797,23.344744745475893,28464994.299990613,0.005971191830568485,0.7064428388529349,0.004218305708122254
Ninh Thuan,600099,359.511098202003,3701.04659049724,0.215686276555061,2980.3232421875,3692.17485218631,0.190052464604378,0.190052464604378,0.0333333333333333,0.0333333333333333,0.911764705882353,0.911764705882353,0.397462776668218,0.352335345005512,11.3219,0.2697,3,0.2,0,0,1.5,0.05,0.027254901960784284,11.3219,106.47020548273021,1.242800183254289e-05,32.170501671223114,327.97679822655584,5643281.060597684,15.974350658224813,9586191.855650052,0.005359938959674705,0.5886885163133433,0.003155334513700987
Binh Thuan,1226361,403.16667611355,3794.38795894989,0.133333340287209,3342.22509765625,3692.17485218631,0.180553380399942,0.180553380399942,0.0333333333333333,0.0333333333333333,0.903703703703704,0.903703703703704,0.441782571545669,0.396389407216804,8.95148,0.2697,3,0.2,0,0,1.5,0.05,0.02730864197530861,8.95148,134.3928198938252,1.1693985371596938e-05,36.70843405046314,342.33115563913935,18411940.036486853,22.577181753252336,27687775.19210029,0.006755135005444332,0.6649844528404015,0.004492059755458442
Kon Tum,459231,382.501465222091,6433.94528135989,0.539215683937073,3170.91186523438,3692.17485218631,0.0944860577583313,0.0944860577583313,0.0333333333333333,0.0333333333333333,0.653061224489796,0.653061224489796,0.241445024661264,0.194783971016635,7.25033,0.2697,3,0.2,0,0,1.5,0.05,0.028979591836734663,7.25033,67.4005653499226,1.1343561775456479e-05,38.154473419355114,638.7372670042167,4269106.237400271,24.987208085331154,11474900.556234712,0.007880133269955836,0.37203862608471294,0.002931713955118806
Gia Lai,1365857,399.580106882006,5408.36879060786,0.418439716100693,3312.49267578125,3692.17485218631,0.0894328560680151,0.0894328560680151,0.0333333333333333,0.0333333333333333,0.77536231884058,0.77536231884058,0.187896798821736,0.159125556794229,6.84467,0.2697,3,0.2,0,0,1.5,0.05,0.028164251207729436,6.84467,55.54662838691419,7.35966764220386e-06,38.696774691963306,522.3126391272837,11084354.864246992,18.334987455930154,25042970.96159439,0.0055351027913158645,0.4426134136099838,0.0024499107411464645
Dak Lak,1844428,393.508407764478,4858.86017272872,0.357575744390488,3262.15869140625,3692.17485218631,0.080965381115675,0.080965381115675,0.0367231639668047,0.0333333333333333,0.920731707317073,0.920731707317073,0.205582749135032,0.177085777606333,6.52538,0.2697,3,0.2,0,0,1.5,0.05,0.027195121951219484,6.52538,58.95134640897695,7.782513177012618e-06,40.83559611047135,457.29814205839887,16662863.151941579,19.875413108519087,36658768.44891964,0.0060927180400139275,0.4545396328619066,0.002769381821039046
Dak Nong,524936,343.407083111659,4529.44521768691,0.401960790157318,2846.82202148438,3692.17485218631,0.0791360074654222,0.0791360074654222,0.0382113821292231,0.0333333333333333,0.92156862745098,0.92156862745098,0.164870051124266,0.140320357151839,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027189542483660106,6.50645,40.94927295441584,7.262988164669082e-06,36.99768282767124,425.56621721789577,3303759.738044438,15.165405669104093,7960867.390316826,0.005327135154447274,0.41499997124219845,0.002210760935898923
Lam Dong,1265612,424.327534710512,4318.59604025422,0.20567375421524,3517.64721679688,3692.17485218631,0.0895548108965158,0.0895548108965158,0.0333333333333333,0.0333333333333333,0.907801418439716,0.907801418439716,0.217921555227771,0.193490892610636,6.66102,0.2697,3,0.2,0,0,1.5,0.05,0.027281323877068532,6.66102,69.0646224587676,6.1986710810923995e-06,39.91632018577604,405.29282383963005,13122466.973419353,17.36518134781932,21977581.895976305,0.004936589793569979,0.5970842031452894,0.0029475597831488997
Binh Phuoc,927893,449.599265337655,4268.10286638042,0.141666665673256,3727.14819335938,3692.17485218631,0.0882572550326586,0.0882572550326586,0.0568627470599396,0.0333333333333333,0.891666666666667,0.891666666666667,0.190001969203657,0.170289724033775,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027388888888888855,6.50645,65.4503096407975,5.968596811678495e-06,71.77907169659763,401.6994828480827,9333950.797059612,18.66964003548895,17323428.301449947,0.005009095175971926,0.5388050583658648,0.0026989258186497253
Tay Ninh,1147528,419.587870395115,4467.95707547227,0.244444444775581,3478.35571289062,3692.17485218631,0.144833575934172,0.144833575934172,0.0393939393518631,0.0333333333333333,0.903703703703704,0.903703703703704,0.259545367773698,0.22895527118449,8.35565,0.2697,3,0.2,0,0,1.5,0.05,0.02730864197530861,8.35565,81.44652811522994,8.476636130572146e-06,44.53522849877683,401.88419873681164,11185505.797276521,18.614393308999496,21360537.525089573,0.005351492154760206,0.5236528240049341,0.0028023239794804315
