AREA # 010101,Sucre,,
Otro,4,0.14,100
Total,"           2,801",100,100
NSA :,496,,
AREA # 020401,Puerto Acosta,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",202,4.04,4.04
"Adobe, tapial","           4,609",92.12,96.16
"Tabique,quinche",8,0.16,96.32
Piedra,174,3.48,99.8
Madera,2,0.04,99.84
"Caña, palma, tronco",1,0.02,99.86
Otro,7,0.14,100
Total,"           5,003",100,100
NSA :,409,,
AREA # 020402,Mocomoco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",132,1.98,1.98
"Adobe, tapial","           6,305",94.58,96.56
"Tabique,quinche",33,0.5,97.06
Piedra,180,2.7,99.76
Madera,3,0.05,99.8
"Caña, palma, tronco",11,0.17,99.97
Otro,2,0.03,100
Total,"           6,666",100,100
NSA :,891,,
AREA # 020403,Pto. Carabuco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",235,4.54,4.54
"Adobe, tapial","           4,907",94.78,99.32
"Tabique,quinche",8,0.15,99.48
Piedra,18,0.35,99.83
Madera,1,0.02,99.85
Otro,8,0.15,100
Total,"           5,177",100,100
NSA :,352,,
AREA # 020404,Humanata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",41,1.95,1.95
"Adobe, tapial","           1,991",94.63,96.58
"Tabique,quinche",2,0.1,96.67
Piedra,68,3.23,99.9
Madera,1,0.05,99.95
"Caña, palma, tronco",1,0.05,100
Total,"           2,104",100,100
NSA :,195,,
AREA # 020405,Escoma,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",272,8.98,8.98
"Adobe, tapial","           2,686",88.68,97.66
"Tabique,quinche",4,0.13,97.79
Piedra,64,2.11,99.9
Otro,3,0.1,100
Total,"           3,029",100,100
NSA :,266,,
AREA # 020501,Chuma,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",166,4.22,4.22
"Adobe, tapial","           3,727",94.76,98.98
"Tabique,quinche",14,0.36,99.34
Piedra,11,0.28,99.62
Madera,2,0.05,99.67
"Caña, palma, tronco",11,0.28,99.95
Otro,2,0.05,100
Total,"           3,933",100,100
NSA :,354,,
AREA # 020502,Ayata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",37,1.36,1.36
"Adobe, tapial","           2,522",92.45,93.8
"Tabique,quinche",3,0.11,93.91
Piedra,63,2.31,96.22
Madera,92,3.37,99.6
"Caña, palma, tronco",8,0.29,99.89
Otro,3,0.11,100
Total,"           2,728",100,100
NSA :,95,,
AREA # 020503,Aucapata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",31,1.63,1.63
"Adobe, tapial","           1,822",95.84,97.48
"Tabique,quinche",9,0.47,97.95
Piedra,26,1.37,99.32
Madera,9,0.47,99.79
Otro,4,0.21,100
Total,"           1,901",100,100
NSA :,376,,
AREA # 020601,Sorata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",990,11.5,11.5
"Adobe, tapial","           6,217",72.24,83.74
"Tabique,quinche",53,0.62,84.36
Piedra,457,5.31,89.67
Madera,761,8.84,98.51
"Caña, palma, tronco",102,1.19,99.7
Otro,26,0.3,100
Total,"           8,606",100,100
NSA :,874,,
AREA # 020602,Guanay,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,048",22.37,22.37
"Adobe, tapial","           1,858",39.67,62.04
"Tabique,quinche",5,0.11,62.15
Piedra,232,4.95,67.1
Madera,"           1,253",26.75,93.85
"Caña, palma, tronco",258,5.51,99.36
Otro,30,0.64,100
Total,"           4,684",100,100
NSA :,402,,
AREA # 020603,Tacacoma,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",249,8.49,8.49
"Adobe, tapial","           1,899",64.77,73.26
"Tabique,quinche",13,0.44,73.7
Piedra,140,4.77,78.48
Madera,603,20.57,99.05
"Caña, palma, tronco",25,0.85,99.9
Otro,3,0.1,100
Total,"           2,932",100,100
NSA :,176,,
AREA # 020604,Quiabaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",42,4.1,4.1
"Adobe, tapial",974,95.02,99.12
"Tabique,quinche",5,0.49,99.61
Piedra,1,0.1,99.71
"Caña, palma, tronco",1,0.1,99.8
Otro,2,0.2,100
Total,"           1,025",100,100
NSA :,161,,
AREA # 020605,Combaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",55,5.51,5.51
"Adobe, tapial",930,93.19,98.7
"Tabique,quinche",3,0.3,99
Piedra,2,0.2,99.2
"Caña, palma, tronco",6,0.6,99.8
Otro,2,0.2,100
Total,998,100,100
NSA :,121,,
AREA # 020606,Tipuani,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,169",33.64,33.64
"Adobe, tapial","           1,008",29.01,62.65
"Tabique,quinche",51,1.47,64.12
Piedra,10,0.29,64.4
Madera,"           1,179",33.93,98.33
"Caña, palma, tronco",21,0.6,98.94
Otro,37,1.06,100
Total,"           3,475",100,100
NSA :,704,,
AREA # 020607,Mapiri,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",626,15.37,15.37
"Adobe, tapial","           1,558",38.26,53.63
"Tabique,quinche",7,0.17,53.81
Piedra,6,0.15,53.95
Madera,"           1,755",43.1,97.05
"Caña, palma, tronco",95,2.33,99.39
Otro,25,0.61,100
Total,"           4,072",100,100
NSA :,306,,
AREA # 020608,Teoponte,,
