AREA # 010101,Sucre,,
"Ladrillo, bloque de cemento, hormigón",290,3.55,3.55
"Adobe, tapial","           7,220",88.26,91.81
"Tabique,quinche",286,3.5,95.31
Piedra,351,4.29,99.6
Madera,21,0.26,99.85
Otro,12,0.15,100
Total,"           8,180",100,100
NSA :,"           1,048",,
AREA # 050404,Ocurí,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",142,2.73,2.73
"Adobe, tapial","           4,678",89.79,92.51
"Tabique,quinche",156,2.99,95.51
Piedra,202,3.88,99.39
Madera,27,0.52,99.9
Otro,5,0.1,100
Total,"           5,210",100,100
NSA :,777,,
AREA # 050501,S.P. De Buena Vista,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",248,3,3
"Adobe, tapial","           6,995",84.48,87.48
"Tabique,quinche",349,4.21,91.69
Piedra,624,7.54,99.23
Madera,36,0.43,99.66
"Caña, palma, tronco",16,0.19,99.86
Otro,12,0.14,100
Total,"           8,280",100,100
NSA :,"           1,128",,
AREA # 050502,Toro Toro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",238,6.8,6.8
"Adobe, tapial","           2,955",84.4,91.2
"Tabique,quinche",36,1.03,92.23
Piedra,236,6.74,98.97
Madera,14,0.4,99.37
"Caña, palma, tronco",16,0.46,99.83
Otro,6,0.17,100
Total,"           3,501",100,100
NSA :,762,,
AREA # 050601,Cotagaita,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",891,9.47,9.47
"Adobe, tapial","           7,593",80.73,90.21
"Tabique,quinche",371,3.94,94.15
Piedra,449,4.77,98.93
Madera,29,0.31,99.23
"Caña, palma, tronco",52,0.55,99.79
Otro,20,0.21,100
Total,"           9,405",100,100
NSA :,"           1,038",,
AREA # 050602,Vitichi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",158,5.03,5.03
"Adobe, tapial","           2,466",78.46,83.49
"Tabique,quinche",73,2.32,85.81
Piedra,440,14,99.81
Madera,1,0.03,99.84
"Caña, palma, tronco",3,0.1,99.94
Otro,2,0.06,100
Total,"           3,143",100,100
NSA :,"           1,045",,
AREA # 050701,Villa de Sacaca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",168,3.06,3.06
"Adobe, tapial","           4,660",84.91,87.97
"Tabique,quinche",446,8.13,96.1
Piedra,201,3.66,99.76
Madera,13,0.24,100
Total,"           5,488",100,100
NSA :,687,,
AREA # 050702,Caripuyo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",404,14.69,14.69
"Adobe, tapial","           2,213",80.47,95.16
"Tabique,quinche",33,1.2,96.36
Piedra,98,3.56,99.93
Madera,1,0.04,99.96
Otro,1,0.04,100
Total,"           2,750",100,100
NSA :,488,,
AREA # 050801,Tupiza,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,273",24.81,24.81
"Adobe, tapial","           9,071",68.77,93.59
"Tabique,quinche",616,4.67,98.26
Piedra,147,1.11,99.37
Madera,22,0.17,99.54
"Caña, palma, tronco",19,0.14,99.68
Otro,42,0.32,100
Total,"          13,190",100,100
NSA :,"           2,489",,
AREA # 050802,Atocha,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",305,8.5,8.5
"Adobe, tapial","           2,470",68.86,77.36
"Tabique,quinche",134,3.74,81.1
Piedra,541,15.08,96.18
Madera,109,3.04,99.22
"Caña, palma, tronco",4,0.11,99.33
Otro,24,0.67,100
Total,"           3,587",100,100
NSA :,776,,
AREA # 050901,"Colcha ""K""",,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",421,12.57,12.57
"Adobe, tapial","           2,603",77.7,90.27
"Tabique,quinche",230,6.87,97.13
Piedra,60,1.79,98.93
Madera,17,0.51,99.43
Otro,19,0.57,100
Total,"           3,350",100,100
NSA :,916,,
AREA # 050902,San Pedro de Quemes,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",21,5.61,5.61
"Adobe, tapial",227,60.7,66.31
"Tabique,quinche",3,0.8,67.11
Piedra,115,30.75,97.86
Madera,3,0.8,98.66
"Caña, palma, tronco",3,0.8,99.47
Otro,2,0.53,100
Total,374,100,100
NSA :,125,,
AREA # 051001,San Pablo de Lipez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",9,1.03,1.03
"Adobe, tapial",750,85.42,86.45
"Tabique,quinche",76,8.66,95.1
Piedra,40,4.56,99.66
Madera,3,0.34,100
Total,878,100,100
NSA :,411,,
AREA # 051002,Mojinete,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",7,1.96,1.96
"Adobe, tapial",260,72.63,74.58
"Tabique,quinche",9,2.51,77.09
Piedra,81,22.63,99.72
Otro,1,0.28,100
Total,358,100,100
NSA :,72,,
AREA # 051003,San Antonio de Esmoruco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",4,0.55,0.55
"Adobe, tapial",471,65.33,65.88
"Tabique,quinche",20,2.77,68.65
Piedra,214,29.68,98.34
Madera,11,1.53,99.86
Otro,1,0.14,100
Total,721,100,100
NSA :,234,,
AREA # 051101,Puna,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",418,5.88,5.88
"Adobe, tapial","           6,279",88.34,94.22
"Tabique,quinche",168,2.36,96.58
Piedra,220,3.1,99.68
Madera,11,0.15,99.83
"Caña, palma, tronco",2,0.03,99.86
Otro,10,0.14,100
Total,"           7,108",100,100
NSA :,"           1,931",,
AREA # 051102,"Caiza ""D""",,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",369,10.41,10.41
"Adobe, tapial","           2,902",81.86,92.27
"Tabique,quinche",158,4.46,96.73
Piedra,104,2.93,99.66
Madera,3,0.08,99.75
"Caña, palma, tronco",4,0.11,99.86
Otro,5,0.14,100
Total,"           3,545",100,100
NSA :,502,,
AREA # 051103,Ckochas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",133,3.52,3.52
"Adobe, tapial","           3,218",85.15,88.67
"Tabique,quinche",197,5.21,93.89
Piedra,217,5.74,99.63
Madera,7,0.19,99.81
"Caña, palma, tronco",6,0.16,99.97
Otro,1,0.03,100
Total,"           3,779",100,100
NSA :,558,,
AREA # 051201,Uyuni,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,553",16.31,16.31
"Adobe, tapial","           7,524",79.02,95.33
"Tabique,quinche",228,2.39,97.72
Piedra,127,1.33,99.05
Madera,29,0.3,99.36
"Caña, palma, tronco",8,0.08,99.44
Otro,53,0.56,100
Total,"           9,522",100,100
NSA :,"           2,138",,
AREA # 051202,Tomave,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",155,3.01,3.01
"Adobe, tapial","           4,536",88.03,91.03
"Tabique,quinche",121,2.35,93.38
Piedra,318,6.17,99.55
Madera,19,0.37,99.92
"Caña, palma, tronco",1,0.02,99.94
Otro,3,0.06,100
Total,"           5,153",100,100
NSA :,"           1,606",,
AREA # 051203,Porco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,336",43.04,43.04
"Adobe, tapial","           1,607",51.77,94.81
"Tabique,quinche",54,1.74,96.55
Piedra,79,2.55,99.1
Madera,9,0.29,99.39
"Caña, palma, tronco",11,0.35,99.74
Otro,8,0.26,100
Total,"           3,104",100,100
NSA :,352,,
AREA # 051301,Arampampa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",56,3.99,3.99
"Adobe, tapial","           1,137",80.98,84.97
"Tabique,quinche",178,12.68,97.65
Piedra,23,1.64,99.29
Madera,10,0.71,100
Total,"           1,404",100,100
NSA :,329,,
AREA # 051302,Acasio,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",76,4.9,4.9
"Adobe, tapial","           1,337",86.2,91.1
"Tabique,quinche",78,5.03,96.13
Piedra,32,2.06,98.19
Madera,18,1.16,99.36
"Caña, palma, tronco",5,0.32,99.68
Otro,5,0.32,100
Total,"           1,551",100,100
NSA :,372,,
AREA # 051401,Llica,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",113,7.53,7.53
"Adobe, tapial","           1,118",74.48,82.01
"Tabique,quinche",30,2,84.01
Piedra,234,15.59,99.6
Madera,2,0.13,99.73
"Caña, palma, tronco",2,0.13,99.87
Otro,2,0.13,100
Total,"           1,501",100,100
NSA :,778,,
AREA # 051402,Tahua,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",5,0.73,0.73
"Adobe, tapial",546,80.06,80.79
"Tabique,quinche",7,1.03,81.82
Piedra,122,17.89,99.71
Madera,1,0.15,99.85
Otro,1,0.15,100
Total,682,100,100
NSA :,156,,
AREA # 051501,Villazón,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,308",27.59,27.59
"Adobe, tapial","           8,122",67.75,95.35
"Tabique,quinche",362,3.02,98.37
Piedra,120,1,99.37
Madera,34,0.28,99.65
"Caña, palma, tronco",4,0.03,99.68
Otro,38,0.32,100
Total,"          11,988",100,100
NSA :,"           1,840",,
AREA # 051601,San Agustín,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",14,2.86,2.86
"Adobe, tapial",457,93.27,96.12
"Tabique,quinche",3,0.61,96.73
Piedra,16,3.27,100
Total,490,100,100
NSA :,242,,
AREA # 060101,Tarija,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          42,710",77.81,77.81
"Adobe, tapial","          11,283",20.56,98.36
"Tabique,quinche",101,0.18,98.55
Piedra,179,0.33,98.87
Madera,101,0.18,99.06
"Caña, palma, tronco",29,0.05,99.11
Otro,488,0.89,100
Total,"          54,891",100,100
NSA :,"           7,830",,
AREA # 060201,Padcaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,136",22.25,22.25
"Adobe, tapial","           3,579",70.09,92.34
"Tabique,quinche",88,1.72,94.07
Piedra,89,1.74,95.81
Madera,161,3.15,98.96
"Caña, palma, tronco",33,0.65,99.61
Otro,20,0.39,100
Total,"           5,106",100,100
NSA :,"           1,317",,
AREA # 060202,Bermejo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           7,420",81.35,81.35
"Adobe, tapial",989,10.84,92.19
"Tabique,quinche",15,0.16,92.36
Piedra,10,0.11,92.47
Madera,543,5.95,98.42
"Caña, palma, tronco",90,0.99,99.41
Otro,54,0.59,100
Total,"           9,121",100,100
NSA :,"           1,297",,
AREA # 060301,Yacuiba,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          17,961",80.96,80.96
"Adobe, tapial","           1,966",8.86,89.83
"Tabique,quinche",166,0.75,90.57
Piedra,22,0.1,90.67
Madera,"           1,682",7.58,98.26
"Caña, palma, tronco",63,0.28,98.54
Otro,324,1.46,100
Total,"          22,184",100,100
NSA :,"           2,387",,
AREA # 060302,Caraparí,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,549",38.38,38.38
"Adobe, tapial","           1,932",47.87,86.25
"Tabique,quinche",88,2.18,88.43
Piedra,4,0.1,88.53
Madera,355,8.8,97.32
"Caña, palma, tronco",62,1.54,98.86
Otro,46,1.14,100
Total,"           4,036",100,100
NSA :,582,,
AREA # 060303,Villamontes,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           7,315",71.27,71.27
"Adobe, tapial","           1,821",17.74,89.01
"Tabique,quinche",185,1.8,90.81
Piedra,8,0.08,90.89
Madera,590,5.75,96.64
"Caña, palma, tronco",85,0.83,97.47
Otro,260,2.53,100
Total,"          10,264",100,100
NSA :,"           1,541",,
AREA # 060401,Uriondo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,650",39.63,39.63
"Adobe, tapial","           2,379",57.15,96.78
"Tabique,quinche",13,0.31,97.09
Piedra,85,2.04,99.14
Madera,9,0.22,99.35
"Caña, palma, tronco",3,0.07,99.42
Otro,24,0.58,100
Total,"           4,163",100,100
NSA :,782,,
AREA # 060402,Yunchará,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",84,5.62,5.62
"Adobe, tapial",926,61.98,67.6
"Tabique,quinche",1,0.07,67.67
Piedra,453,30.32,97.99
Madera,24,1.61,99.6
"Caña, palma, tronco",6,0.4,100
Total,"           1,494",100,100
NSA :,435,,
AREA # 060501,Villa San Lorenzo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,443",38.11,38.11
"Adobe, tapial","           3,560",55.53,93.64
"Tabique,quinche",52,0.81,94.45
Piedra,336,5.24,99.69
Madera,3,0.05,99.73
"Caña, palma, tronco",11,0.17,99.91
Otro,6,0.09,100
Total,"           6,411",100,100
NSA :,"           1,448",,
AREA # 060502,El Puente,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",293,8.94,8.94
"Adobe, tapial","           2,031",62,70.94
"Tabique,quinche",4,0.12,71.06
Piedra,893,27.26,98.32
Madera,49,1.5,99.82
"Caña, palma, tronco",4,0.12,99.94
Otro,2,0.06,100
Total,"           3,276",100,100
NSA :,"           1,101",,
AREA # 060601,Entre Ríos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,618",30.47,30.47
"Adobe, tapial","           3,188",60.03,90.49
"Tabique,quinche",128,2.41,92.9
Piedra,58,1.09,93.99
Madera,194,3.65,97.65
"Caña, palma, tronco",87,1.64,99.28
Otro,38,0.72,100
Total,"           5,311",100,100
NSA :,971,,
AREA # 070101,Santa Cruz de la Sierra,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","         340,554",94.11,94.11
"Adobe, tapial","           5,426",1.5,95.61
"Tabique,quinche",828,0.23,95.84
Piedra,251,0.07,95.91
Madera,"          11,447",3.16,99.07
"Caña, palma, tronco",395,0.11,99.18
Otro,"           2,968",0.82,100
Total,"         361,869",100,100
NSA :,"          35,072",,
AREA # 070102,Cotoca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           9,324",90.42,90.42
"Adobe, tapial",366,3.55,93.97
"Tabique,quinche",142,1.38,95.35
Piedra,10,0.1,95.44
Madera,244,2.37,97.81
"Caña, palma, tronco",25,0.24,98.05
Otro,201,1.95,100
Total,"          10,312",100,100
NSA :,959,,
AREA # 070103,Porongo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,039",58.17,58.17
"Adobe, tapial",362,10.33,68.5
"Tabique,quinche",513,14.64,83.14
Piedra,72,2.05,85.19
Madera,279,7.96,93.15
"Caña, palma, tronco",143,4.08,97.23
Otro,97,2.77,100
Total,"           3,505",100,100
NSA :,867,,
AREA # 070104,La Guardia,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          19,579",92.23,92.23
"Adobe, tapial",475,2.24,94.47
"Tabique,quinche",223,1.05,95.52
Piedra,35,0.16,95.68
Madera,615,2.9,98.58
"Caña, palma, tronco",38,0.18,98.76
Otro,263,1.24,100
Total,"          21,228",100,100
NSA :,"           1,989",,
AREA # 070105,El Torno,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           9,556",78.19,78.19
"Adobe, tapial","           1,050",8.59,86.78
"Tabique,quinche",419,3.43,90.21
Piedra,24,0.2,90.4
Madera,902,7.38,97.78
"Caña, palma, tronco",138,1.13,98.91
Otro,133,1.09,100
Total,"          12,222",100,100
NSA :,"           1,380",,
AREA # 070201,Warnes,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          20,259",86.98,86.98
"Adobe, tapial",805,3.46,90.43
"Tabique,quinche",487,2.09,92.53
Piedra,13,0.06,92.58
Madera,"           1,071",4.6,97.18
"Caña, palma, tronco",210,0.9,98.08
Otro,447,1.92,100
Total,"          23,292",100,100
NSA :,"           2,334",,
AREA # 070202,Okinawa Uno,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,673",64.84,64.84
"Adobe, tapial",329,12.75,77.6
"Tabique,quinche",224,8.68,86.28
Piedra,9,0.35,86.63
Madera,152,5.89,92.52
"Caña, palma, tronco",137,5.31,97.83
Otro,56,2.17,100
Total,"           2,580",100,100
NSA :,273,,
AREA # 070301,San Ignacio de Velasco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,337",21.67,21.67
"Adobe, tapial","           3,447",31.96,53.63
"Tabique,quinche","           3,154",29.24,82.87
Piedra,32,0.3,83.16
Madera,"           1,427",13.23,96.39
"Caña, palma, tronco",215,1.99,98.39
Otro,174,1.61,100
Total,"          10,786",100,100
NSA :,"           1,083",,
AREA # 070302,San Miguel de Velasco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",287,11.15,11.15
"Adobe, tapial",967,37.58,48.74
"Tabique,quinche","           1,094",42.52,91.26
Piedra,4,0.16,91.41
Madera,151,5.87,97.28
"Caña, palma, tronco",12,0.47,97.75
Otro,58,2.25,100
Total,"           2,573",100,100
NSA :,512,,
AREA # 070303,San Rafael,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",375,31.43,31.43
"Adobe, tapial",114,9.56,40.99
"Tabique,quinche",398,33.36,74.35
Piedra,2,0.17,74.52
Madera,268,22.46,96.98
"Caña, palma, tronco",1,0.08,97.07
Otro,35,2.93,100
Total,"           1,193",100,100
NSA :,179,,
AREA # 070401,Buena Vista,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,897",59.79,59.79
"Adobe, tapial",413,13.02,72.8
"Tabique,quinche",342,10.78,83.58
Piedra,5,0.16,83.74
Madera,289,9.11,92.85
"Caña, palma, tronco",170,5.36,98.2
Otro,57,1.8,100
Total,"           3,173",100,100
NSA :,597,,
AREA # 070402,San Carlos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,069",67.17,67.17
"Adobe, tapial",262,5.73,72.9
"Tabique,quinche",164,3.59,76.49
Piedra,15,0.33,76.82
Madera,710,15.54,92.36
"Caña, palma, tronco",208,4.55,96.91
Otro,141,3.09,100
Total,"           4,569",100,100
NSA :,416,,
AREA # 070403,Yapacaní,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           7,629",51.73,51.73
"Adobe, tapial",33,0.22,51.96
"Tabique,quinche",49,0.33,52.29
Piedra,31,0.21,52.5
Madera,"           4,852",32.9,85.4
"Caña, palma, tronco","           1,929",13.08,98.48
Otro,224,1.52,100
Total,"          14,747",100,100
NSA :,"           1,579",,
AREA # 070404,San Juan de Yapacaní,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,235",58.17,58.17
"Adobe, tapial",47,2.21,60.39
"Tabique,quinche",8,0.38,60.76
Piedra,28,1.32,62.08
Madera,704,33.16,95.24
"Caña, palma, tronco",55,2.59,97.83
Otro,46,2.17,100
Total,"           2,123",100,100
NSA :,249,,
AREA # 070501,San José de Chiquitos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,653",54.62,54.62
"Adobe, tapial",256,5.27,59.89
"Tabique,quinche","           1,288",26.52,86.41
Piedra,13,0.27,86.68
Madera,538,11.08,97.76
"Caña, palma, tronco",39,0.8,98.56
Otro,70,1.44,100
Total,"           4,857",100,100
NSA :,591,,
AREA # 070502,Pailón,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           5,141",70.91,70.91
"Adobe, tapial",394,5.43,76.34
"Tabique,quinche",254,3.5,79.85
Piedra,10,0.14,79.99
Madera,"           1,286",17.74,97.72
"Caña, palma, tronco",25,0.34,98.07
Otro,140,1.93,100
Total,"           7,250",100,100
NSA :,445,,
AREA # 070503,Roboré,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,125",56.59,56.59
"Adobe, tapial",748,19.92,76.51
"Tabique,quinche",439,11.69,88.2
Piedra,13,0.35,88.55
Madera,272,7.24,95.79
"Caña, palma, tronco",55,1.46,97.26
Otro,103,2.74,100
Total,"           3,755",100,100
NSA :,591,,
AREA # 070601,Portachuelo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,494",84.74,84.74
"Adobe, tapial",258,6.26,91
"Tabique,quinche",159,3.86,94.86
Piedra,2,0.05,94.91
Madera,76,1.84,96.75
"Caña, palma, tronco",67,1.63,98.37
Otro,67,1.63,100
Total,"           4,123",100,100
NSA :,481,,
AREA # 070602,Santa Rosa del Sara,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,622",35.18,35.18
"Adobe, tapial",300,6.51,41.69
"Tabique,quinche",394,8.55,50.24
Piedra,33,0.72,50.95
Madera,"           2,036",44.16,95.12
"Caña, palma, tronco",141,3.06,98.18
Otro,84,1.82,100
Total,"           4,610",100,100
NSA :,475,,
AREA # 070603,Colpa Belgica,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",939,69.61,69.61
"Adobe, tapial",169,12.53,82.13
"Tabique,quinche",169,12.53,94.66
Piedra,31,2.3,96.96
Madera,3,0.22,97.18
"Caña, palma, tronco",9,0.67,97.85
Otro,29,2.15,100
Total,"           1,349",100,100
NSA :,67,,
AREA # 070701,Lagunillas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",229,21.28,21.28
"Adobe, tapial",411,38.2,59.48
"Tabique,quinche",412,38.29,97.77
Piedra,2,0.19,97.96
Madera,8,0.74,98.7
"Caña, palma, tronco",7,0.65,99.35
Otro,7,0.65,100
Total,"           1,076",100,100
NSA :,88,,
AREA # 070702,Charagua,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,107",33.48,33.48
"Adobe, tapial","           1,660",26.38,59.86
"Tabique,quinche","           2,242",35.63,95.49
Piedra,7,0.11,95.6
Madera,206,3.27,98.87
"Caña, palma, tronco",21,0.33,99.21
Otro,50,0.79,100
Total,"           6,293",100,100
NSA :,643,,
AREA # 070703,Cabezas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,463",61.36,61.36
"Adobe, tapial",828,14.67,76.03
"Tabique,quinche",648,11.48,87.51
Piedra,10,0.18,87.69
Madera,599,10.61,98.3
"Caña, palma, tronco",10,0.18,98.48
Otro,86,1.52,100
Total,"           5,644",100,100
NSA :,605,,
AREA # 070704,Cuevo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",186,16.46,16.46
"Adobe, tapial",790,69.91,86.37
"Tabique,quinche",141,12.48,98.85
Madera,7,0.62,99.47
"Caña, palma, tronco",1,0.09,99.56
Otro,5,0.44,100
Total,"           1,130",100,100
NSA :,45,,
AREA # 070705,Gutiérrez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",190,7.87,7.87
"Adobe, tapial","           1,074",44.47,52.34
"Tabique,quinche","           1,097",45.42,97.76
Piedra,3,0.12,97.89
Madera,25,1.04,98.92
"Caña, palma, tronco",5,0.21,99.13
Otro,21,0.87,100
Total,"           2,415",100,100
NSA :,154,,
AREA # 070706,Camiri,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           4,183",49.79,49.79
"Adobe, tapial","           3,877",46.14,95.93
"Tabique,quinche",231,2.75,98.68
Piedra,11,0.13,98.81
Madera,22,0.26,99.07
"Caña, palma, tronco",12,0.14,99.21
Otro,66,0.79,100
Total,"           8,402",100,100
NSA :,844,,
AREA # 070707,Boyuibe,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",282,27.76,27.76
"Adobe, tapial",646,63.58,91.34
"Tabique,quinche",65,6.4,97.74
Madera,16,1.57,99.31
Otro,7,0.69,100
Total,"           1,016",100,100
NSA :,83,,
AREA # 070801,Vallegrande,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,327",25.17,25.17
"Adobe, tapial","           3,544",67.22,92.39
"Tabique,quinche",131,2.48,94.88
Piedra,113,2.14,97.02
Madera,114,2.16,99.18
"Caña, palma, tronco",26,0.49,99.68
Otro,17,0.32,100
Total,"           5,272",100,100
NSA :,"           1,718",,
AREA # 070802,Trigal,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",79,13.79,13.79
"Adobe, tapial",486,84.82,98.6
"Tabique,quinche",3,0.52,99.13
Piedra,1,0.17,99.3
Madera,1,0.17,99.48
"Caña, palma, tronco",1,0.17,99.65
Otro,2,0.35,100
Total,573,100,100
NSA :,151,,
AREA # 070803,Moro Moro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",66,7.59,7.59
"Adobe, tapial",770,88.51,96.09
